WARD,PROJECT
AKU WARD,RECONSTRUCTION IHUBE-AKU BRIDGE & ROAD GRADING
EZINACHI WARD,BOREHOLE DRILLING
IHUBE WARD,RENOVATION OF MARKET/GRADING OF ROADS
URBAN 1 WARD,UBAHA TOWN HALL
URBAN 11,COMMUNITY SECONDARY SCHOOL OKIGWE
URBAN 11,EKE-OKIGWE MARKET
UMULOLO WARD,SOLAR DRIVEN BOREHOLE
UMUALUMOKE WARD,MINI BRIDGE
OGII WARD,ORIE OGII MARKET \ROADS
AGBOBU WARD,AGBOBU/IZUOGU PRIMARY SCHOOL
UMUAWAIBU WARD,SOLAR DRIVEN WATER BOREHOLE
UMUAWAIBU WARD,300KVA TRANSFORMER
AMURO WARD,NDI EKWURU BRIDGE
